label,type,x,y
Panamint Mountains,mountain,-117.01400,36.13787
Black Mountains,mountain,-116.70639038085938,36.01133890448606
Avawatz Mountains,mountain,-116.28890991210938,35.546753306701
Death Valley,valley,-116.83822631835938,36.15783544102625
Furnace Creek,valley,-116.868594,36.453355
Amargosa River,river,-116.288605,35.676441
Owlshead Mountains,mountains,-116.659391,35.802785
